fold,support_seed,total_labelled_measurements,unique_TagIDs,unique_ER_levels,unique_surfaces,unique_condition_blocks,unique_exact_signals,repeated_measurements_beyond_first_per_block,minimum_labels_per_TagID,maximum_labels_per_TagID,minimum_labels_per_covered_block,maximum_labels_per_covered_block,selected_factor_cell_order
0,530017,500,7,3,3,42,387,458,71,72,11,12,E0xS1;E0xS2;E1xS2;E1xS0;E2xS1;E2xS0
0,555029,7,7,1,1,7,7,0,1,1,1,1,E1xS0;E0xS2;E1xS2;E2xS0;E2xS1;E0xS1
0,555029,10,7,2,2,10,10,0,1,2,1,1,E1xS0;E0xS2;E1xS2;E2xS0;E2xS1;E0xS1
0,555029,20,7,2,2,20,20,0,2,3,1,1,E1xS0;E0xS2;E1xS2;E2xS0;E2xS1;E0xS1
0,555029,21,7,2,2,21,21,0,3,3,1,1,E1xS0;E0xS2;E1xS2;E2xS0;E2xS1;E0xS1
0,555029,35,7,3,3,35,35,0,5,5,1,1,E1xS0;E0xS2;E1xS2;E2xS0;E2xS1;E0xS1
0,555029,50,7,3,3,42,49,8,7,8,1,2,E1xS0;E0xS2;E1xS2;E2xS0;E2xS1;E0xS1
0,555029,100,7,3,3,42,99,58,14,15,2,3,E1xS0;E0xS2;E1xS2;E2xS0;E2xS1;E0xS1
0,555029,200,7,3,3,42,185,158,28,29,4,5,E1xS0;E0xS2;E1xS2;E2xS0;E2xS1;E0xS1
0,555029,500,7,3,3,42,392,458,71,72,11,12,E1xS0;E0xS2;E1xS2;E2xS0;E2xS1;E0xS1
0,580031,7,7,1,1,7,7,0,1,1,1,1,E2xS0;E2xS1;E0xS1;E1xS0;E0xS2;E1xS2
0,580031,10,7,1,2,10,10,0,1,2,1,1,E2xS0;E2xS1;E0xS1;E1xS0;E0xS2;E1xS2
0,580031,20,7,2,2,20,20,0,2,3,1,1,E2xS0;E2xS1;E0xS1;E1xS0;E0xS2;E1xS2
0,580031,21,7,2,2,21,21,0,3,3,1,1,E2xS0;E2xS1;E0xS1;E1xS0;E0xS2;E1xS2
0,580031,35,7,3,3,35,35,0,5,5,1,1,E2xS0;E2xS1;E0xS1;E1xS0;E0xS2;E1xS2
0,580031,50,7,3,3,42,50,8,7,8,1,2,E2xS0;E2xS1;E0xS1;E1xS0;E0xS2;E1xS2
0,580031,100,7,3,3,42,98,58,14,15,2,3,E2xS0;E2xS1;E0xS1;E1xS0;E0xS2;E1xS2
0,580031,200,7,3,3,42,183,158,28,29,4,5,E2xS0;E2xS1;E0xS1;E1xS0;E0xS2;E1xS2
0,580031,500,7,3,3,42,387,458,71,72,11,12,E2xS0;E2xS1;E0xS1;E1xS0;E0xS2;E1xS2
1,104729,7,7,1,1,7,7,0,1,1,1,1,E2xS2;E0xS0;E1xS0;E0xS2;E2xS1;E1xS1
1,104729,10,7,2,2,10,10,0,1,2,1,1,E2xS2;E0xS0;E1xS0;E0xS2;E2xS1;E1xS1
1,104729,20,7,3,2,20,20,0,2,3,1,1,E2xS2;E0xS0;E1xS0;E0xS2;E2xS1;E1xS1
1,104729,21,7,3,2,21,21,0,3,3,1,1,E2xS2;E0xS0;E1xS0;E0xS2;E2xS1;E1xS1
1,104729,35,7,3,3,35,35,0,5,5,1,1,E2xS2;E0xS0;E1xS0;E0xS2;E2xS1;E1xS1
1,104729,50,7,3,3,42,50,8,7,8,1,2,E2xS2;E0xS0;E1xS0;E0xS2;E2xS1;E1xS1
1,104729,100,7,3,3,42,97,58,14,15,2,3,E2xS2;E0xS0;E1xS0;E0xS2;E2xS1;E1xS1
1,104729,200,7,3,3,42,181,158,28,29,4,5,E2xS2;E0xS0;E1xS0;E0xS2;E2xS1;E1xS1
1,104729,500,7,3,3,42,390,458,71,72,11,12,E2xS2;E0xS0;E1xS0;E0xS2;E2xS1;E1xS1
1,130363,7,7,1,1,7,7,0,1,1,1,1,E0xS2;E0xS0;E2xS2;E1xS0;E2xS1;E1xS1
1,130363,10,7,1,2,10,10,0,1,2,1,1,E0xS2;E0xS0;E2xS2;E1xS0;E2xS1;E1xS1
1,130363,20,7,2,2,20,20,0,2,3,1,1,E0xS2;E0xS0;E2xS2;E1xS0;E2xS1;E1xS1
1,130363,21,7,2,2,21,21,0,3,3,1,1,E0xS2;E0xS0;E2xS2;E1xS0;E2xS1;E1xS1
1,130363,35,7,3,3,35,35,0,5,5,1,1,E0xS2;E0xS0;E2xS2;E1xS0;E2xS1;E1xS1
1,130363,50,7,3,3,42,50,8,7,8,1,2,E0xS2;E0xS0;E2xS2;E1xS0;E2xS1;E1xS1
1,130363,100,7,3,3,42,99,58,14,15,2,3,E0xS2;E0xS0;E2xS2;E1xS0;E2xS1;E1xS1
1,130363,200,7,3,3,42,179,158,28,29,4,5,E0xS2;E0xS0;E2xS2;E1xS0;E2xS1;E1xS1
1,130363,500,7,3,3,42,390,458,71,72,11,12,E0xS2;E0xS0;E2xS2;E1xS0;E2xS1;E1xS1
1,155921,7,7,1,1,7,7,0,1,1,1,1,E1xS1;E2xS2;E0xS2;E0xS0;E1xS0;E2xS1
1,155921,10,7,2,2,10,10,0,1,2,1,1,E1xS1;E2xS2;E0xS2;E0xS0;E1xS0;E2xS1
1,155921,20,7,3,2,20,20,0,2,3,1,1,E1xS1;E2xS2;E0xS2;E0xS0;E1xS0;E2xS1
1,155921,21,7,3,2,21,21,0,3,3,1,1,E1xS1;E2xS2;E0xS2;E0xS0;E1xS0;E2xS1
1,155921,35,7,3,3,35,35,0,5,5,1,1,E1xS1;E2xS2;E0xS2;E0xS0;E1xS0;E2xS1
1,155921,50,7,3,3,42,50,8,7,8,1,2,E1xS1;E2xS2;E0xS2;E0xS0;E1xS0;E2xS1
1,155921,100,7,3,3,42,98,58,14,15,2,3,E1xS1;E2xS2;E0xS2;E0xS0;E1xS0;E2xS1
1,155921,200,7,3,3,42,184,158,28,29,4,5,E1xS1;E2xS2;E0xS2;E0xS0;E1xS0;E2xS1
1,155921,500,7,3,3,42,391,458,71,72,11,12,E1xS1;E2xS2;E0xS2;E0xS0;E1xS0;E2xS1
1,181081,7,7,1,1,7,7,0,1,1,1,1,E1xS0;E1xS1;E0xS2;E2xS1;E2xS2;E0xS0
1,181081,10,7,1,2,10,10,0,1,2,1,1,E1xS0;E1xS1;E0xS2;E2xS1;E2xS2;E0xS0
1,181081,20,7,2,3,20,20,0,2,3,1,1,E1xS0;E1xS1;E0xS2;E2xS1;E2xS2;E0xS0
1,181081,21,7,2,3,21,21,0,3,3,1,1,E1xS0;E1xS1;E0xS2;E2xS1;E2xS2;E0xS0
1,181081,35,7,3,3,35,35,0,5,5,1,1,E1xS0;E1xS1;E0xS2;E2xS1;E2xS2;E0xS0
