event_id,delta_macro_f1_equivalent,candidate_id,winner_scenario_count,enumerated_scenario_count,scenario_fraction_not_probability,nominal_winner,nominal_top_score,nominal_second_score,nominal_absolute_margin,nominal_relative_margin,leave_one_seed_out_winner_changed,nominal_winner_robust_all_scenarios,interpretation
HOLD_P2,0.0025000000000000001,C3_SOURCE_CORAL_ERM_1DCNN,0,16,0,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.12386044528827292,0.052889629398631469,0.07097081588964145,0.57299015617507187,False,True,deterministic symmetric enumeration; not probabilistic
HOLD_P2,0.0050000000000000001,C0_NEUTRAL_ERM_1DCNN,0,16,0,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.12386044528827292,0.052889629398631469,0.07097081588964145,0.57299015617507187,False,True,deterministic symmetric enumeration; not probabilistic
HOLD_P2,0.0050000000000000001,C1_FIRST_DIFFERENCE_ERM_1DCNN,16,16,1,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.12386044528827292,0.052889629398631469,0.07097081588964145,0.57299015617507187,False,True,deterministic symmetric enumeration; not probabilistic
HOLD_P2,0.0050000000000000001,C2_SOURCE_EUCLIDEAN_NCM_READOUT,0,16,0,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.12386044528827292,0.052889629398631469,0.07097081588964145,0.57299015617507187,False,True,deterministic symmetric enumeration; not probabilistic
HOLD_P2,0.0050000000000000001,C3_SOURCE_CORAL_ERM_1DCNN,0,16,0,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.12386044528827292,0.052889629398631469,0.07097081588964145,0.57299015617507187,False,True,deterministic symmetric enumeration; not probabilistic
HOLD_P3,0.001,C0_NEUTRAL_ERM_1DCNN,0,16,0,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.13172221394409592,0.12702991851799283,0.0046922954261030825,0.035622658362655026,True,True,deterministic symmetric enumeration; not probabilistic
HOLD_P3,0.001,C1_FIRST_DIFFERENCE_ERM_1DCNN,16,16,1,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.13172221394409592,0.12702991851799283,0.0046922954261030825,0.035622658362655026,True,True,deterministic symmetric enumeration; not probabilistic
HOLD_P3,0.001,C2_SOURCE_EUCLIDEAN_NCM_READOUT,0,16,0,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.13172221394409592,0.12702991851799283,0.0046922954261030825,0.035622658362655026,True,True,deterministic symmetric enumeration; not probabilistic
HOLD_P3,0.001,C3_SOURCE_CORAL_ERM_1DCNN,0,16,0,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.13172221394409592,0.12702991851799283,0.0046922954261030825,0.035622658362655026,True,True,deterministic symmetric enumeration; not probabilistic
HOLD_P3,0.0025000000000000001,C0_NEUTRAL_ERM_1DCNN,0,16,0,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.13172221394409592,0.12702991851799283,0.0046922954261030825,0.035622658362655026,True,False,deterministic symmetric enumeration; not probabilistic
HOLD_P3,0.0025000000000000001,C1_FIRST_DIFFERENCE_ERM_1DCNN,12,16,0.75,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.13172221394409592,0.12702991851799283,0.0046922954261030825,0.035622658362655026,True,False,deterministic symmetric enumeration; not probabilistic
HOLD_P3,0.0025000000000000001,C2_SOURCE_EUCLIDEAN_NCM_READOUT,4,16,0.25,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.13172221394409592,0.12702991851799283,0.0046922954261030825,0.035622658362655026,True,False,deterministic symmetric enumeration; not probabilistic
HOLD_P3,0.0025000000000000001,C3_SOURCE_CORAL_ERM_1DCNN,0,16,0,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.13172221394409592,0.12702991851799283,0.0046922954261030825,0.035622658362655026,True,False,deterministic symmetric enumeration; not probabilistic
HOLD_P3,0.0050000000000000001,C0_NEUTRAL_ERM_1DCNN,0,16,0,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.13172221394409592,0.12702991851799283,0.0046922954261030825,0.035622658362655026,True,False,deterministic symmetric enumeration; not probabilistic
HOLD_P3,0.0050000000000000001,C1_FIRST_DIFFERENCE_ERM_1DCNN,12,16,0.75,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.13172221394409592,0.12702991851799283,0.0046922954261030825,0.035622658362655026,True,False,deterministic symmetric enumeration; not probabilistic
HOLD_P3,0.0050000000000000001,C2_SOURCE_EUCLIDEAN_NCM_READOUT,4,16,0.25,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.13172221394409592,0.12702991851799283,0.0046922954261030825,0.035622658362655026,True,False,deterministic symmetric enumeration; not probabilistic
HOLD_P3,0.0050000000000000001,C3_SOURCE_CORAL_ERM_1DCNN,0,16,0,C1_FIRST_DIFFERENCE_ERM_1DCNN,0.13172221394409592,0.12702991851799283,0.0046922954261030825,0.035622658362655026,True,False,deterministic symmetric enumeration; not probabilistic
